,perc
1689,9.9%
1690,6.1 percentage points
1691,29.7 percent
1692,2.50 percent
1693,24.3 percent
1694,136%
1695,4.49%
1696,2.6604%
1697,22.0%
1698,2.73%
1699,472%
1700,425 percent
1701,2.4%
1702,114 percent
1703,6.35%
1704,72.2 percent
1705,five percentage points
1706,0.10%
1707,5 percent
1708,8.9 percentage points
1709,56.8%
1710,78.5 percent
1711,0.85 percent
1712,75.5 percent
1713,10.75%
1714,27.9%
1715,1.75 percent
1716,7.69%
1717,140.1%
1718,1.23%
1719,24.7%
1720,4.1%
1721,95.1%
1722,296%
1723,3.9%
1724,83%
1725,1.3 percent
1726,16.5%
1727,98.1 percent
1728,2.13%
1729,631%
1730,29.8 percent
